log_id,spot_no,entry_time,exit_time,duration_hours
47,12,2025-01-11 11:45:00,2025-01-11 13:45:00,2
48,28,2025-01-27 20:32:00,2025-01-27 22:32:00,2
49,18,2025-01-23 14:04:00,2025-01-23 15:04:00,1
50,28,2025-01-02 12:08:00,2025-01-02 13:08:00,1
51,5,2025-01-17 21:30:00,2025-01-18 00:30:00,3
52,48,2025-01-12 11:48:00,2025-01-12 14:48:00,3
53,41,2025-01-14 12:49:00,2025-01-14 15:49:00,3
54,40,2025-01-03 17:36:00,2025-01-03 19:36:00,2
55,28,2025-01-20 10:02:00,2025-01-20 13:02:00,3
56,20,2025-01-24 11:02:00,2025-01-24 12:02:00,1
57,1,2025-01-28 20:07:00,2025-01-28 23:07:00,3
58,44,2025-01-15 23:20:00,2025-01-16 02:20:00,3
59,25,2025-01-14 12:03:00,2025-01-14 13:03:00,1
60,36,2025-01-23 12:00:00,2025-01-23 15:00:00,3
61,2,2025-01-05 13:45:00,2025-01-05 16:45:00,3
62,47,2025-01-18 10:35:00,2025-01-18 11:35:00,1
63,50,2025-01-02 19:11:00,2025-01-02 22:11:00,3
64,7,2025-01-13 12:15:00,2025-01-13 15:15:00,3
65,9,2025-01-01 11:20:00,2025-01-01 14:20:00,3
66,9,2025-01-14 07:19:00,2025-01-14 09:19:00,2
67,31,2025-01-04 03:45:00,2025-01-04 04:45:00,1
68,39,2025-01-18 13:22:00,2025-01-18 14:22:00,1
69,14,2025-01-30 20:15:00,2025-01-30 21:15:00,1
70,33,2025-01-22 13:42:00,2025-01-22 14:42:00,1
71,17,2025-01-16 10:29:00,2025-01-16 13:29:00,3
72,47,2025-01-10 05:38:00,2025-01-10 08:38:00,3
73,48,2025-01-16 23:58:00,2025-01-17 00:58:00,1
74,42,2025-01-19 20:08:00,2025-01-19 23:08:00,3
75,5,2025-01-30 20:12:00,2025-01-30 23:12:00,3
76,31,2025-01-18 18:28:00,2025-01-18 19:28:00,1
77,34,2025-01-11 16:52:00,2025-01-11 17:52:00,1
78,3,2025-01-06 17:03:00,2025-01-06 18:03:00,1
79,30,2025-01-27 20:20:00,2025-01-27 22:20:00,2
80,43,2025-01-09 18:23:00,2025-01-09 20:23:00,2
81,13,2025-01-12 10:40:00,2025-01-12 12:40:00,2
82,45,2025-01-26 19:35:00,2025-01-26 20:35:00,1
83,36,2025-01-03 01:21:00,2025-01-03 04:21:00,3
84,16,2025-01-01 17:34:00,2025-01-01 19:34:00,2
85,5,2025-01-05 10:24:00,2025-01-05 13:24:00,3
86,15,2025-01-04 12:33:00,2025-01-04 15:33:00,3
87,15,2025-01-19 08:27:00,2025-01-19 09:27:00,1
88,6,2025-01-28 18:27:00,2025-01-28 21:27:00,3
89,27,2025-01-29 13:19:00,2025-01-29 14:19:00,1
90,37,2025-01-07 12:21:00,2025-01-07 15:21:00,3
91,12,2025-01-27 13:24:00,2025-01-27 15:24:00,2
92,5,2025-01-14 19:42:00,2025-01-14 20:42:00,1
93,49,2025-01-24 16:54:00,2025-01-24 18:54:00,2
94,38,2025-01-24 08:51:00,2025-01-24 10:51:00,2
95,37,2025-01-22 12:30:00,2025-01-22 13:30:00,1
96,5,2025-01-12 10:09:00,2025-01-12 12:09:00,2
97,6,2025-01-12 10:24:00,2025-01-12 11:24:00,1
98,17,2025-01-03 20:46:00,2025-01-03 23:46:00,3
99,32,2025-01-20 12:13:00,2025-01-20 13:13:00,1
100,48,2025-01-26 03:49:00,2025-01-26 05:49:00,2
101,12,2025-01-15 19:40:00,2025-01-15 22:40:00,3
102,21,2025-01-06 17:22:00,2025-01-06 18:22:00,1
103,25,2025-01-25 13:06:00,2025-01-25 14:06:00,1
104,37,2025-01-01 12:12:00,2025-01-01 15:12:00,3
105,4,2025-01-07 13:07:00,2025-01-07 14:07:00,1
106,35,2025-01-28 13:14:00,2025-01-28 16:14:00,3
107,8,2025-01-07 18:44:00,2025-01-07 20:44:00,2
108,28,2025-01-26 04:42:00,2025-01-26 07:42:00,3
109,25,2025-01-25 11:08:00,2025-01-25 13:08:00,2
110,42,2025-01-16 17:44:00,2025-01-16 19:44:00,2
111,36,2025-01-19 18:14:00,2025-01-19 19:14:00,1
112,8,2025-01-13 13:58:00,2025-01-13 14:58:00,1
113,23,2025-01-30 05:35:00,2025-01-30 08:35:00,3
114,46,2025-01-30 01:46:00,2025-01-30 03:46:00,2
115,34,2025-01-02 17:45:00,2025-01-02 18:45:00,1
116,2,2025-01-21 17:02:00,2025-01-21 18:02:00,1
117,13,2025-01-28 09:49:00,2025-01-28 12:49:00,3
118,16,2025-01-16 01:23:00,2025-01-16 04:23:00,3
119,30,2025-01-30 09:59:00,2025-01-30 12:59:00,3
120,48,2025-01-05 10:28:00,2025-01-05 13:28:00,3
121,47,2025-01-02 19:12:00,2025-01-02 21:12:00,2
122,46,2025-01-06 19:45:00,2025-01-06 21:45:00,2
123,13,2025-01-29 07:39:00,2025-01-29 10:39:00,3
124,6,2025-01-22 18:38:00,2025-01-22 21:38:00,3
125,12,2025-01-09 10:00:00,2025-01-09 12:00:00,2
126,34,2025-01-01 14:05:00,2025-01-01 17:05:00,3
127,48,2025-01-06 18:05:00,2025-01-06 21:05:00,3
128,35,2025-01-18 20:27:00,2025-01-18 23:27:00,3
129,7,2025-01-18 09:14:00,2025-01-18 10:14:00,1
130,45,2025-01-07 20:48:00,2025-01-07 21:48:00,1
131,41,2025-01-06 13:47:00,2025-01-06 15:47:00,2
132,22,2025-01-01 13:26:00,2025-01-01 16:26:00,3
133,33,2025-01-02 03:06:00,2025-01-02 04:06:00,1
134,26,2025-01-20 20:47:00,2025-01-20 21:47:00,1
135,11,2025-01-30 02:50:00,2025-01-30 04:50:00,2
136,45,2025-01-15 19:59:00,2025-01-15 21:59:00,2
137,11,2025-01-03 18:35:00,2025-01-03 19:35:00,1
138,26,2025-01-19 17:16:00,2025-01-19 20:16:00,3
139,1,2025-01-19 17:57:00,2025-01-19 18:57:00,1
140,37,2025-01-18 05:07:00,2025-01-18 08:07:00,3
141,48,2025-01-07 11:55:00,2025-01-07 12:55:00,1
142,20,2025-01-07 14:41:00,2025-01-07 15:41:00,1
143,14,2025-01-05 11:36:00,2025-01-05 13:36:00,2
144,44,2025-01-03 19:08:00,2025-01-03 21:08:00,2
145,5,2025-01-02 01:09:00,2025-01-02 02:09:00,1
146,3,2025-01-22 01:26:00,2025-01-22 02:26:00,1
147,7,2025-01-05 12:56:00,2025-01-05 13:56:00,1
148,22,2025-01-01 18:20:00,2025-01-01 19:20:00,1
149,6,2025-01-26 10:06:00,2025-01-26 12:06:00,2
150,41,2025-01-21 10:42:00,2025-01-21 12:42:00,2
151,8,2025-01-13 18:05:00,2025-01-13 21:05:00,3
152,1,2025-01-09 07:50:00,2025-01-09 09:50:00,2
153,22,2025-01-26 15:24:00,2025-01-26 16:24:00,1
154,44,2025-01-08 19:01:00,2025-01-08 21:01:00,2
155,36,2025-01-10 12:19:00,2025-01-10 15:19:00,3
156,2,2025-01-24 16:35:00,2025-01-24 19:35:00,3
157,30,2025-01-04 18:20:00,2025-01-04 19:20:00,1
158,24,2025-01-16 18:14:00,2025-01-16 19:14:00,1
159,30,2025-01-29 13:44:00,2025-01-29 16:44:00,3
160,1,2025-01-18 12:03:00,2025-01-18 13:03:00,1
161,47,2025-01-18 08:51:00,2025-01-18 09:51:00,1
162,1,2025-01-12 03:17:00,2025-01-12 06:17:00,3
163,4,2025-01-30 20:59:00,2025-01-30 23:59:00,3
164,13,2025-01-12 03:46:00,2025-01-12 06:46:00,3
165,13,2025-01-21 12:43:00,2025-01-21 14:43:00,2
166,28,2025-01-03 19:41:00,2025-01-03 22:41:00,3
167,38,2025-01-08 13:01:00,2025-01-08 16:01:00,3
168,37,2025-01-11 10:40:00,2025-01-11 13:40:00,3
169,20,2025-01-02 19:59:00,2025-01-02 21:59:00,2
170,48,2025-01-27 18:19:00,2025-01-27 19:19:00,1
171,48,2025-01-09 19:20:00,2025-01-09 21:20:00,2
172,23,2025-01-24 11:56:00,2025-01-24 13:56:00,2
173,28,2025-01-22 12:17:00,2025-01-22 14:17:00,2
174,34,2025-01-19 10:44:00,2025-01-19 13:44:00,3
175,49,2025-01-16 19:20:00,2025-01-16 20:20:00,1
176,15,2025-01-27 15:32:00,2025-01-27 17:32:00,2
177,41,2025-01-14 07:38:00,2025-01-14 10:38:00,3
178,4,2025-01-05 19:27:00,2025-01-05 22:27:00,3
179,43,2025-01-26 13:34:00,2025-01-26 15:34:00,2
180,46,2025-01-18 17:29:00,2025-01-18 20:29:00,3
181,1,2025-01-06 19:55:00,2025-01-06 21:55:00,2
182,14,2025-01-25 23:59:00,2025-01-26 00:59:00,1
183,38,2025-01-15 11:19:00,2025-01-15 14:19:00,3
184,37,2025-01-16 02:59:00,2025-01-16 04:59:00,2
185,6,2025-01-08 10:58:00,2025-01-08 12:58:00,2
186,29,2025-01-24 15:05:00,2025-01-24 17:05:00,2
187,3,2025-01-22 11:51:00,2025-01-22 14:51:00,3
188,37,2025-01-19 11:13:00,2025-01-19 13:13:00,2
189,46,2025-01-10 17:11:00,2025-01-10 19:11:00,2
190,12,2025-01-12 11:39:00,2025-01-12 13:39:00,2
191,2,2025-01-05 11:25:00,2025-01-05 13:25:00,2
192,1,2025-01-04 10:39:00,2025-01-04 12:39:00,2
193,35,2025-01-04 06:00:00,2025-01-04 07:00:00,1
194,19,2025-01-14 17:48:00,2025-01-14 18:48:00,1
195,11,2025-01-26 17:19:00,2025-01-26 20:19:00,3
196,26,2025-01-22 12:08:00,2025-01-22 15:08:00,3
197,32,2025-01-19 13:50:00,2025-01-19 16:50:00,3
198,47,2025-01-25 13:47:00,2025-01-25 15:47:00,2
199,3,2025-01-13 20:54:00,2025-01-13 23:54:00,3
200,33,2025-01-25 13:28:00,2025-01-25 16:28:00,3
201,38,2025-01-17 06:31:00,2025-01-17 09:31:00,3
202,18,2025-01-14 18:10:00,2025-01-14 19:10:00,1
203,15,2025-01-06 14:20:00,2025-01-06 17:20:00,3
204,31,2025-01-18 20:48:00,2025-01-18 23:48:00,3
205,34,2025-01-13 14:57:00,2025-01-13 16:57:00,2
206,14,2025-01-02 17:22:00,2025-01-02 19:22:00,2
207,44,2025-01-14 07:27:00,2025-01-14 09:27:00,2
208,47,2025-01-19 17:19:00,2025-01-19 20:19:00,3
209,23,2025-01-14 23:13:00,2025-01-15 02:13:00,3
210,5,2025-01-08 20:54:00,2025-01-08 23:54:00,3
211,10,2025-01-15 10:10:00,2025-01-15 11:10:00,1
212,24,2025-01-09 03:45:00,2025-01-09 04:45:00,1
213,11,2025-01-29 11:58:00,2025-01-29 14:58:00,3
214,40,2025-01-12 18:59:00,2025-01-12 20:59:00,2
215,2,2025-01-04 20:44:00,2025-01-04 21:44:00,1
216,15,2025-01-13 17:14:00,2025-01-13 20:14:00,3
217,30,2025-01-26 03:26:00,2025-01-26 06:26:00,3
218,18,2025-01-26 02:22:00,2025-01-26 04:22:00,2
219,19,2025-01-25 16:06:00,2025-01-25 18:06:00,2
220,14,2025-01-13 20:13:00,2025-01-13 23:13:00,3
221,10,2025-01-13 15:12:00,2025-01-13 16:12:00,1
222,23,2025-01-13 06:12:00,2025-01-13 09:12:00,3
223,8,2025-01-22 19:22:00,2025-01-22 20:22:00,1
224,29,2025-01-03 10:05:00,2025-01-03 11:05:00,1
225,26,2025-01-21 18:28:00,2025-01-21 20:28:00,2
226,12,2025-01-24 06:00:00,2025-01-24 07:00:00,1
227,21,2025-01-12 06:32:00,2025-01-12 07:32:00,1
228,7,2025-01-06 18:17:00,2025-01-06 21:17:00,3
229,26,2025-01-01 19:20:00,2025-01-01 22:20:00,3
230,23,2025-01-16 17:31:00,2025-01-16 18:31:00,1
231,12,2025-01-19 20:18:00,2025-01-19 22:18:00,2
232,32,2025-01-11 17:44:00,2025-01-11 20:44:00,3
233,47,2025-01-21 10:33:00,2025-01-21 12:33:00,2
234,24,2025-01-23 10:31:00,2025-01-23 13:31:00,3
235,29,2025-01-17 17:21:00,2025-01-17 18:21:00,1
236,39,2025-01-29 13:05:00,2025-01-29 15:05:00,2
237,49,2025-01-25 17:46:00,2025-01-25 20:46:00,3
238,16,2025-01-08 11:16:00,2025-01-08 14:16:00,3
239,25,2025-01-30 18:12:00,2025-01-30 19:12:00,1
240,10,2025-01-28 20:23:00,2025-01-28 22:23:00,2
241,43,2025-01-05 00:29:00,2025-01-05 02:29:00,2
242,35,2025-01-02 17:04:00,2025-01-02 20:04:00,3
243,11,2025-01-14 19:20:00,2025-01-14 22:20:00,3
244,28,2025-01-22 13:49:00,2025-01-22 16:49:00,3
245,44,2025-01-30 19:54:00,2025-01-30 22:54:00,3
246,20,2025-01-21 13:36:00,2025-01-21 15:36:00,2
247,24,2025-01-18 20:11:00,2025-01-18 23:11:00,3
248,37,2025-01-25 18:42:00,2025-01-25 19:42:00,1
249,32,2025-01-06 18:11:00,2025-01-06 21:11:00,3
250,15,2025-01-26 12:22:00,2025-01-26 13:22:00,1
251,2,2025-01-06 11:20:00,2025-01-06 12:20:00,1
252,21,2025-01-23 15:20:00,2025-01-23 17:20:00,2
253,39,2025-01-13 18:24:00,2025-01-13 21:24:00,3
254,10,2025-01-23 11:19:00,2025-01-23 14:19:00,3
255,39,2025-01-18 07:26:00,2025-01-18 08:26:00,1
256,14,2025-01-05 15:37:00,2025-01-05 17:37:00,2
257,45,2025-01-04 06:01:00,2025-01-04 09:01:00,3
258,27,2025-01-23 11:14:00,2025-01-23 12:14:00,1
259,5,2025-01-21 19:04:00,2025-01-21 21:04:00,2
260,13,2025-01-09 11:02:00,2025-01-09 12:02:00,1
261,42,2025-01-17 18:18:00,2025-01-17 20:18:00,2
262,50,2025-01-06 02:17:00,2025-01-06 03:17:00,1
263,12,2025-01-25 15:26:00,2025-01-25 18:26:00,3
264,14,2025-01-09 20:31:00,2025-01-09 22:31:00,2
265,50,2025-01-08 14:12:00,2025-01-08 17:12:00,3
266,34,2025-01-30 19:42:00,2025-01-30 21:42:00,2
267,5,2025-01-16 11:42:00,2025-01-16 12:42:00,1
268,23,2025-01-07 13:14:00,2025-01-07 14:14:00,1
269,31,2025-01-08 15:42:00,2025-01-08 18:42:00,3
270,29,2025-01-23 12:03:00,2025-01-23 14:03:00,2
271,17,2025-01-10 10:37:00,2025-01-10 13:37:00,3
272,34,2025-01-11 13:05:00,2025-01-11 14:05:00,1
273,47,2025-01-14 11:47:00,2025-01-14 13:47:00,2
274,37,2025-01-03 20:14:00,2025-01-03 21:14:00,1
275,40,2025-01-21 08:52:00,2025-01-21 11:52:00,3
276,2,2025-01-14 11:49:00,2025-01-14 12:49:00,1
277,39,2025-01-25 17:39:00,2025-01-25 18:39:00,1
278,48,2025-01-04 11:15:00,2025-01-04 13:15:00,2
279,25,2025-01-27 19:36:00,2025-01-27 21:36:00,2
280,3,2025-01-23 10:26:00,2025-01-23 11:26:00,1
281,9,2025-01-11 20:52:00,2025-01-11 23:52:00,3
282,24,2025-01-25 15:42:00,2025-01-25 17:42:00,2
283,31,2025-01-10 08:51:00,2025-01-10 09:51:00,1
284,37,2025-01-29 13:13:00,2025-01-29 14:13:00,1
285,2,2025-01-20 17:49:00,2025-01-20 18:49:00,1
286,48,2025-01-27 12:18:00,2025-01-27 15:18:00,3
287,8,2025-01-04 11:41:00,2025-01-04 14:41:00,3
288,9,2025-01-10 18:32:00,2025-01-10 19:32:00,1
289,22,2025-01-08 17:08:00,2025-01-08 19:08:00,2
290,30,2025-01-12 13:34:00,2025-01-12 15:34:00,2
291,12,2025-01-23 14:32:00,2025-01-23 15:32:00,1
292,48,2025-01-16 17:43:00,2025-01-16 18:43:00,1
293,40,2025-01-29 11:46:00,2025-01-29 14:46:00,3
294,20,2025-01-06 20:17:00,2025-01-06 23:17:00,3
295,21,2025-01-16 19:03:00,2025-01-16 22:03:00,3
296,5,2025-01-15 12:28:00,2025-01-15 13:28:00,1
297,39,2025-01-11 06:32:00,2025-01-11 07:32:00,1
298,12,2025-01-21 17:20:00,2025-01-21 18:20:00,1
299,11,2025-01-03 13:01:00,2025-01-03 15:01:00,2
300,12,2025-01-21 19:27:00,2025-01-21 20:27:00,1
301,11,2025-01-02 19:47:00,2025-01-02 22:47:00,3
302,20,2025-01-09 18:52:00,2025-01-09 21:52:00,3
303,2,2025-01-20 06:10:00,2025-01-20 07:10:00,1
304,15,2025-01-03 03:31:00,2025-01-03 06:31:00,3
305,48,2025-01-27 17:57:00,2025-01-27 19:57:00,2
306,40,2025-01-15 03:01:00,2025-01-15 06:01:00,3
307,31,2025-01-24 13:15:00,2025-01-24 16:15:00,3
308,47,2025-01-06 20:04:00,2025-01-06 21:04:00,1
309,15,2025-01-03 12:25:00,2025-01-03 15:25:00,3
310,31,2025-01-26 17:17:00,2025-01-26 18:17:00,1
311,21,2025-01-20 13:24:00,2025-01-20 16:24:00,3
312,15,2025-01-25 05:07:00,2025-01-25 08:07:00,3
313,17,2025-01-14 23:34:00,2025-01-15 01:34:00,2
314,35,2025-01-18 11:43:00,2025-01-18 14:43:00,3
315,4,2025-01-23 10:20:00,2025-01-23 12:20:00,2
316,48,2025-01-24 18:44:00,2025-01-24 19:44:00,1
317,3,2025-01-18 20:48:00,2025-01-18 21:48:00,1
318,38,2025-01-18 09:53:00,2025-01-18 12:53:00,3
319,34,2025-01-12 18:03:00,2025-01-12 19:03:00,1
320,11,2025-01-09 20:35:00,2025-01-09 23:35:00,3
321,1,2025-01-11 11:43:00,2025-01-11 12:43:00,1
322,20,2025-01-18 12:28:00,2025-01-18 15:28:00,3
323,50,2025-01-18 11:09:00,2025-01-18 12:09:00,1
324,35,2025-01-02 02:08:00,2025-01-02 03:08:00,1
325,49,2025-01-14 13:26:00,2025-01-14 15:26:00,2
326,10,2025-01-09 10:38:00,2025-01-09 13:38:00,3
327,8,2025-01-05 11:21:00,2025-01-05 14:21:00,3
328,19,2025-01-08 18:22:00,2025-01-08 20:22:00,2
329,12,2025-01-16 17:42:00,2025-01-16 19:42:00,2
330,32,2025-01-29 06:28:00,2025-01-29 08:28:00,2
331,2,2025-01-03 09:34:00,2025-01-03 10:34:00,1
332,29,2025-01-28 18:06:00,2025-01-28 19:06:00,1
333,8,2025-01-22 20:08:00,2025-01-22 23:08:00,3
334,26,2025-01-02 10:43:00,2025-01-02 13:43:00,3
335,50,2025-01-10 20:15:00,2025-01-10 23:15:00,3
336,32,2025-01-14 20:49:00,2025-01-14 21:49:00,1
337,33,2025-01-26 00:41:00,2025-01-26 01:41:00,1
338,2,2025-01-06 18:40:00,2025-01-06 20:40:00,2
339,7,2025-01-09 10:55:00,2025-01-09 11:55:00,1
340,36,2025-01-10 13:48:00,2025-01-10 14:48:00,1
341,9,2025-01-02 16:01:00,2025-01-02 19:01:00,3
342,18,2025-01-09 11:41:00,2025-01-09 12:41:00,1
343,2,2025-01-28 04:49:00,2025-01-28 05:49:00,1
344,11,2025-01-17 18:12:00,2025-01-17 21:12:00,3
345,32,2025-01-20 17:20:00,2025-01-20 18:20:00,1
346,1,2025-01-04 18:43:00,2025-01-04 20:43:00,2
347,29,2025-01-08 03:23:00,2025-01-08 05:23:00,2
348,5,2025-01-05 12:43:00,2025-01-05 13:43:00,1
349,6,2025-01-05 19:28:00,2025-01-05 21:28:00,2
350,21,2025-01-18 23:54:00,2025-01-19 00:54:00,1
351,45,2025-01-11 03:29:00,2025-01-11 06:29:00,3
352,2,2025-01-23 03:17:00,2025-01-23 05:17:00,2
353,33,2025-01-05 10:44:00,2025-01-05 12:44:00,2
354,18,2025-01-23 12:25:00,2025-01-23 13:25:00,1
355,9,2025-01-29 02:39:00,2025-01-29 04:39:00,2
356,8,2025-01-27 20:09:00,2025-01-27 21:09:00,1
357,45,2025-01-11 13:50:00,2025-01-11 16:50:00,3
358,47,2025-01-08 18:08:00,2025-01-08 20:08:00,2
359,17,2025-01-09 10:41:00,2025-01-09 11:41:00,1
360,31,2025-01-14 11:14:00,2025-01-14 12:14:00,1
361,6,2025-01-07 18:28:00,2025-01-07 20:28:00,2
362,36,2025-01-07 13:23:00,2025-01-07 14:23:00,1
363,23,2025-01-01 07:39:00,2025-01-01 10:39:00,3
364,18,2025-01-22 20:14:00,2025-01-22 22:14:00,2
365,12,2025-01-16 18:54:00,2025-01-16 21:54:00,3
366,15,2025-01-06 11:28:00,2025-01-06 13:28:00,2
367,21,2025-01-05 08:35:00,2025-01-05 09:35:00,1
368,46,2025-01-10 17:58:00,2025-01-10 19:58:00,2
369,4,2025-01-09 19:51:00,2025-01-09 21:51:00,2
370,17,2025-01-27 12:08:00,2025-01-27 15:08:00,3
371,1,2025-01-25 04:45:00,2025-01-25 06:45:00,2
372,42,2025-01-11 12:24:00,2025-01-11 13:24:00,1
373,39,2025-01-29 10:15:00,2025-01-29 12:15:00,2
374,20,2025-01-15 17:33:00,2025-01-15 19:33:00,2
375,27,2025-01-13 11:31:00,2025-01-13 12:31:00,1
376,15,2025-01-02 17:14:00,2025-01-02 18:14:00,1
377,36,2025-01-27 23:05:00,2025-01-28 01:05:00,2
378,24,2025-01-07 17:19:00,2025-01-07 19:19:00,2
379,25,2025-01-04 19:21:00,2025-01-04 21:21:00,2
380,32,2025-01-22 13:17:00,2025-01-22 15:17:00,2
381,46,2025-01-12 17:47:00,2025-01-12 20:47:00,3
382,1,2025-01-18 17:29:00,2025-01-18 18:29:00,1
383,33,2025-01-08 16:59:00,2025-01-08 19:59:00,3
384,48,2025-01-07 12:02:00,2025-01-07 13:02:00,1
385,46,2025-01-22 22:36:00,2025-01-22 23:36:00,1
386,49,2025-01-05 13:38:00,2025-01-05 15:38:00,2
387,44,2025-01-14 18:59:00,2025-01-14 21:59:00,3
388,26,2025-01-10 00:07:00,2025-01-10 03:07:00,3
389,22,2025-01-29 23:59:00,2025-01-30 02:59:00,3
390,2,2025-01-25 13:53:00,2025-01-25 14:53:00,1
391,18,2025-01-03 13:16:00,2025-01-03 14:16:00,1
392,11,2025-01-08 11:31:00,2025-01-08 14:31:00,3
393,26,2025-01-29 19:31:00,2025-01-29 21:31:00,2
394,18,2025-01-24 11:33:00,2025-01-24 14:33:00,3
395,9,2025-01-30 02:19:00,2025-01-30 03:19:00,1
396,38,2025-01-01 05:50:00,2025-01-01 07:50:00,2
397,9,2025-01-04 11:51:00,2025-01-04 14:51:00,3
398,12,2025-01-08 20:11:00,2025-01-08 21:11:00,1
399,29,2025-01-01 17:46:00,2025-01-01 20:46:00,3
400,11,2025-01-12 20:10:00,2025-01-12 21:10:00,1
401,37,2025-01-25 18:07:00,2025-01-25 21:07:00,3
402,10,2025-01-30 10:43:00,2025-01-30 13:43:00,3
403,39,2025-01-25 11:51:00,2025-01-25 14:51:00,3
404,42,2025-01-03 11:07:00,2025-01-03 12:07:00,1
405,50,2025-01-17 18:47:00,2025-01-17 19:47:00,1
406,14,2025-01-19 08:11:00,2025-01-19 10:11:00,2
407,32,2025-01-14 17:16:00,2025-01-14 19:16:00,2
408,43,2025-01-20 12:23:00,2025-01-20 13:23:00,1
409,1,2025-01-03 17:54:00,2025-01-03 18:54:00,1
410,13,2025-01-08 13:26:00,2025-01-08 15:26:00,2
411,47,2025-01-10 11:58:00,2025-01-10 14:58:00,3
412,35,2025-01-21 19:33:00,2025-01-21 20:33:00,1
413,2,2025-01-02 19:13:00,2025-01-02 21:13:00,2
414,49,2025-01-20 23:23:00,2025-01-21 00:23:00,1
415,19,2025-01-16 11:51:00,2025-01-16 14:51:00,3
416,1,2025-01-02 11:51:00,2025-01-02 13:51:00,2
417,32,2025-01-05 00:32:00,2025-01-05 02:32:00,2
418,18,2025-01-02 12:41:00,2025-01-02 15:41:00,3
419,16,2025-01-20 13:24:00,2025-01-20 14:24:00,1
420,29,2025-01-27 18:28:00,2025-01-27 20:28:00,2
421,15,2025-01-03 12:21:00,2025-01-03 14:21:00,2
422,17,2025-01-22 17:33:00,2025-01-22 19:33:00,2
423,5,2025-01-26 10:14:00,2025-01-26 12:14:00,2
424,1,2025-01-06 02:35:00,2025-01-06 05:35:00,3
425,39,2025-01-26 06:02:00,2025-01-26 08:02:00,2
426,2,2025-01-27 11:00:00,2025-01-27 14:00:00,3
427,44,2025-01-11 04:16:00,2025-01-11 06:16:00,2
428,10,2025-01-10 13:57:00,2025-01-10 15:57:00,2
429,25,2025-01-08 03:42:00,2025-01-08 04:42:00,1
430,45,2025-01-19 10:43:00,2025-01-19 11:43:00,1
431,22,2025-01-10 14:35:00,2025-01-10 16:35:00,2
432,28,2025-01-06 00:43:00,2025-01-06 03:43:00,3
433,24,2025-01-15 13:01:00,2025-01-15 14:01:00,1
434,13,2025-01-22 06:52:00,2025-01-22 07:52:00,1
435,18,2025-01-19 10:51:00,2025-01-19 11:51:00,1
